nibs-gsin,bpr-opi,gsin-description_en,gsin-description_fr,bpr-opi-url_en,bpr-opi-url_fr,gsin-code-status_en,gsin-code-status_fr,date-file-published
N7830C,"[""VAN""]","Playground Equipment","Équipement de terrain de jeu","[""http://www.geds.gc.ca/en/GEDS/?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]","[""http://www.geds.gc.ca/fr/SAGE?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]",Active,Actif,"2019-09-30 16:52:14"
N7830E,"[""VAN""]","THEATRICAL EQUIPMENT AND SUPPLIES","Équipement et fournitures théâtraux","[""http://www.geds.gc.ca/en/GEDS/?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]","[""http://www.geds.gc.ca/fr/SAGE?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]",Active,Actif,"2019-09-30 16:52:14"
N7830H,"[""VAN""]","Racks, Bicycle","Supports, bicyclettes","[""http://www.geds.gc.ca/en/GEDS/?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]","[""http://www.geds.gc.ca/fr/SAGE?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]",Active,Actif,"2019-09-30 16:52:14"
N7830J,"[""VAN""]","VEHICLE, SURFACE MAINTENANCE, ICE, SELF-PROPELLED, RIDE-ON","Véhicule, pour entretien de surface en glace automoteur, avec selle","[""http://www.geds.gc.ca/en/GEDS/?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]","[""http://www.geds.gc.ca/fr/SAGE?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]",Active,Actif,"2019-09-30 16:52:14"
N7830K,"[""VAN""]","Swimming Pools and Hot Tubs (Spas)","Piscines et cuves thermales (spas)","[""http://www.geds.gc.ca/en/GEDS/?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]","[""http://www.geds.gc.ca/fr/SAGE?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]",Active,Actif,"2019-09-30 16:52:14"
N7830,"[""VAN""]","Recreational and Gymnastic Equipment","Équipements de divertissement et de gymnastique","[""http://www.geds.gc.ca/en/GEDS/?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]","[""http://www.geds.gc.ca/fr/SAGE?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]",Active,Actif,"2019-09-30 16:52:14"
N7045126,"[""VAN""]","Toner, Cartridge, Virgin, for various types of Printers and Facsimile Machines","Cartouche de toner neuve, pour divers types d'imprimantes et de télécopieurs","[""http://www.geds.gc.ca/en/GEDS/?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]","[""http://www.geds.gc.ca/fr/SAGE?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]",Active,Actif,"2019-09-30 16:52:14"
N7045127,"[""VAN""]","Toner, Cartridge, Remanufactured, for various types of Printers and Facsimile Machines","Cartouche de toner remise à neuf, pour divers types d'imprimantes et de télécopieurs","[""http://www.geds.gc.ca/en/GEDS/?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]","[""http://www.geds.gc.ca/fr/SAGE?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]",Active,Actif,"2019-09-30 16:52:14"
WL3610,"[""VAN""]","PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING","Équipement d'impression, de duplication et de reliure - location","[""http://www.geds.gc.ca/en/GEDS/?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]","[""http://www.geds.gc.ca/fr/SAGE?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]",Active,Actif,"2019-09-30 16:52:14"
WL3610AA,"[""VAN""]","PHOTOCOPYING MACHINES - LEASE","Machines à photocopier - location à bail","[""http://www.geds.gc.ca/en/GEDS/?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]","[""http://www.geds.gc.ca/fr/SAGE?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]",Active,Actif,"2019-09-30 16:52:14"
WL3610AB,"[""VAN""]","Photocopying Machines, N.E.S. - Lease","Machines à photocopier, location à bail","[""http://www.geds.gc.ca/en/GEDS/?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]","[""http://www.geds.gc.ca/fr/SAGE?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]",Active,Actif,"2019-09-30 16:52:14"
WL3610AD,"[""VAN""]","PHOTOCOPYING MACHINES, LIBRARY BOOK - LEASE","Machines à photocopieur, reproduction de livres de bibliothèque  - location à bail","[""http://www.geds.gc.ca/en/GEDS/?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]","[""http://www.geds.gc.ca/fr/SAGE?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]",Active,Actif,"2019-09-30 16:52:14"
