,,,,,,,,
United Nations Provisional Central Product Classification (CPC),United Nations Provisional Central Product Classification Description,GSIN Code,GSIN Description EN,GSIN Description FR,UNSPSC Code,UNSPSC Description EN,UNSPSC Description FR,
,,5164CG,Standby Power Generator Systems - Installation and Repair,Groupes électrogènes de secours - installation et réparation,,,,
,,5164CH,Building Intrusion Detection System - Installation and Repair,Systèmes de détection anti-effraction d'immeuble - installation et réparation,,,,
,,5164CJ,Security Control Systems - Installation and Repair,Systèmes de contrôle de la sécurité - installation et réparation,,,,
,,5164CK,Building Intercommunication System - Installation and Repair,Réseau d'intercommunication d'immeuble - installation et réparation,,,,
,,5164CM,Building Public Address Systems - Installation and Repair,Systèmes de sonorisation d'immeuble - installation et réparation,,,,
,,5164CN,Building Electrical Controls - Installation and Repair,Commandes électriques d'immeuble - installation et réparation,,,,
,,5164CP,Building Electronic Controls - Installation and Repair,Commandes électroniques d'immeuble - installation et réparation,,,,
,,5164CQ,Building Environmental Control Systems Servicing,Systèmes de contrôle de l'environnement d'immeuble - entretien,,,,
,,5164CU,"Low Voltage Electrical Equipment & Systems - Repairs, Testing, Verification & Alternatives","Équipement et systèmes électriques à bas voltage - réparations, essais, vérifications et options",,,,
,,5164CV,Generator Maintenance,Générator - entretien,,,,
,,5164CW,Uninterruptible Power Supply (UPS) System - Maintenance,Bloc d'alimentation électrique sans coupure - Entretien,,,,
,,5164D,Fire Alarm System Maintenance (building related),Entretien du système d'alarme incendie (immeubles),,,,
,,5164E,Security Systems Maintenance - Interior (built-in) Buildings,Entretien des systèmes de sécurité - Immeubles intérieurs (intégrés),,,,
,"5165 Insulation work (electrical wiring, water, heat, sound)",5165A,Insulation Work,Travaux d'isolation,,,,
,,5165AA,"Pipe Insulations, Contractors",Entrepreneurs en isolation de tuyaux,,,,
,,5165AB,Building Insulation Contractor Services,Services d'entrepreneur en isolation d'immeuble,,,,
,5166 Fencing and railing construction work,5166A,Fence Construction,Construction de clôtures,,,,
,,5166B,Fencing and Railing Work,"Clôtures, garde-corps et mains courantes",,,,
,5169 Other installation work,5169C,Elevator Installation,Installation des ascenseurs,,,,
,,5169CB,Elevator Maintenance (buildings),Entretien des ascenseurs (immeubles),,,,
,,5169D,Other Installation Work,Autres travaux d'installation,,,,
,,5169DA,"Building/Installation Special Trade Services, Not Elsewhere Specified","Services de corps de métiers spécialisés - construction/installation, non énumérés ailleurs",,,,
,,5169E,Doors and Windows Installation and Repair Services,Services d'installation et de réparation de portes et de fenêtres,,,,
,,5169EA,"Doors Metal Overhead, Installation and Repair",Portes relevables métalliques - installation et réparation,,,,
,,5169EB,"Doors, Shielded, Maintenance and Repairs",Portes blindées - entretien et réparation,,,,
